REGION,FUEL,TIMESLICE,YEAR,VALUE
PHLLU,ELCPHLLU,S2D2H4,2032,0.07
PHLLU,ELCPHLLU,S2D2H5,2032,0.05
PHLLU,ELCPHLLU,S2D2H6,2032,0.025
PHLLU,ELCPHLLU,S1D1H1,2033,0.005
PHLLU,ELCPHLLU,S1D1H2,2033,0.05
PHLLU,ELCPHLLU,S1D1H3,2033,0.05
PHLLU,ELCPHLLU,S1D1H4,2033,0.07
PHLLU,ELCPHLLU,S1D1H5,2033,0.05
PHLLU,ELCPHLLU,S1D1H6,2033,0.025
PHLLU,ELCPHLLU,S1D2H1,2033,0.005
PHLLU,ELCPHLLU,S1D2H2,2033,0.05
PHLLU,ELCPHLLU,S1D2H3,2033,0.05
PHLLU,ELCPHLLU,S1D2H4,2033,0.07
PHLLU,ELCPHLLU,S1D2H5,2033,0.05
PHLLU,ELCPHLLU,S1D2H6,2033,0.025
PHLLU,ELCPHLLU,S2D1H1,2033,0.005
PHLLU,ELCPHLLU,S2D1H2,2033,0.05
PHLLU,ELCPHLLU,S2D1H3,2033,0.05
PHLLU,ELCPHLLU,S2D1H4,2033,0.07
PHLLU,ELCPHLLU,S2D1H5,2033,0.05
PHLLU,ELCPHLLU,S2D1H6,2033,0.025
PHLLU,ELCPHLLU,S2D2H1,2033,0.005
PHLLU,ELCPHLLU,S2D2H2,2033,0.05
PHLLU,ELCPHLLU,S2D2H3,2033,0.05
PHLLU,ELCPHLLU,S2D2H4,2033,0.07
PHLLU,ELCPHLLU,S2D2H5,2033,0.05
PHLLU,ELCPHLLU,S2D2H6,2033,0.025
PHLLU,ELCPHLLU,S1D1H1,2034,0.005
PHLLU,ELCPHLLU,S1D1H2,2034,0.05
PHLLU,ELCPHLLU,S1D1H3,2034,0.05
PHLLU,ELCPHLLU,S1D1H4,2034,0.07
PHLLU,ELCPHLLU,S1D1H5,2034,0.05
PHLLU,ELCPHLLU,S1D1H6,2034,0.025
PHLLU,ELCPHLLU,S1D2H1,2034,0.005
PHLLU,ELCPHLLU,S1D2H2,2034,0.05
PHLLU,ELCPHLLU,S1D2H3,2034,0.05
PHLLU,ELCPHLLU,S1D2H4,2034,0.07
PHLLU,ELCPHLLU,S1D2H5,2034,0.05
PHLLU,ELCPHLLU,S1D2H6,2034,0.025
PHLLU,ELCPHLLU,S2D1H1,2034,0.005
PHLLU,ELCPHLLU,S2D1H2,2034,0.05
PHLLU,ELCPHLLU,S2D1H3,2034,0.05
PHLLU,ELCPHLLU,S2D1H4,2034,0.07
PHLLU,ELCPHLLU,S2D1H5,2034,0.05
PHLLU,ELCPHLLU,S2D1H6,2034,0.025
PHLLU,ELCPHLLU,S2D2H1,2034,0.005
PHLLU,ELCPHLLU,S2D2H2,2034,0.05
PHLLU,ELCPHLLU,S2D2H3,2034,0.05
PHLLU,ELCPHLLU,S2D2H4,2034,0.07
PHLLU,ELCPHLLU,S2D2H5,2034,0.05
PHLLU,ELCPHLLU,S2D2H6,2034,0.025
PHLLU,ELCPHLLU,S1D1H1,2035,0.005
PHLLU,ELCPHLLU,S1D1H2,2035,0.05
PHLLU,ELCPHLLU,S1D1H3,2035,0.05
PHLLU,ELCPHLLU,S1D1H4,2035,0.07
PHLLU,ELCPHLLU,S1D1H5,2035,0.05
PHLLU,ELCPHLLU,S1D1H6,2035,0.025
PHLLU,ELCPHLLU,S1D2H1,2035,0.005
PHLLU,ELCPHLLU,S1D2H2,2035,0.05
PHLLU,ELCPHLLU,S1D2H3,2035,0.05
PHLLU,ELCPHLLU,S1D2H4,2035,0.07
PHLLU,ELCPHLLU,S1D2H5,2035,0.05
PHLLU,ELCPHLLU,S1D2H6,2035,0.025
PHLLU,ELCPHLLU,S2D1H1,2035,0.005
PHLLU,ELCPHLLU,S2D1H2,2035,0.05
PHLLU,ELCPHLLU,S2D1H3,2035,0.05
PHLLU,ELCPHLLU,S2D1H4,2035,0.07
PHLLU,ELCPHLLU,S2D1H5,2035,0.05
PHLLU,ELCPHLLU,S2D1H6,2035,0.025
PHLLU,ELCPHLLU,S2D2H1,2035,0.005
PHLLU,ELCPHLLU,S2D2H2,2035,0.05
PHLLU,ELCPHLLU,S2D2H3,2035,0.05
PHLLU,ELCPHLLU,S2D2H4,2035,0.07
PHLLU,ELCPHLLU,S2D2H5,2035,0.05
PHLLU,ELCPHLLU,S2D2H6,2035,0.025
PHLLU,ELCPHLLU,S1D1H1,2036,0.005
PHLLU,ELCPHLLU,S1D1H2,2036,0.05
PHLLU,ELCPHLLU,S1D1H3,2036,0.05
PHLLU,ELCPHLLU,S1D1H4,2036,0.07
PHLLU,ELCPHLLU,S1D1H5,2036,0.05
PHLLU,ELCPHLLU,S1D1H6,2036,0.025
PHLLU,ELCPHLLU,S1D2H1,2036,0.005
PHLLU,ELCPHLLU,S1D2H2,2036,0.05
PHLLU,ELCPHLLU,S1D2H3,2036,0.05
PHLLU,ELCPHLLU,S1D2H4,2036,0.07
PHLLU,ELCPHLLU,S1D2H5,2036,0.05
PHLLU,ELCPHLLU,S1D2H6,2036,0.025
PHLLU,ELCPHLLU,S2D1H1,2036,0.005
PHLLU,ELCPHLLU,S2D1H2,2036,0.05
PHLLU,ELCPHLLU,S2D1H3,2036,0.05
PHLLU,ELCPHLLU,S2D1H4,2036,0.07
PHLLU,ELCPHLLU,S2D1H5,2036,0.05
PHLLU,ELCPHLLU,S2D1H6,2036,0.025
PHLLU,ELCPHLLU,S2D2H1,2036,0.005
PHLLU,ELCPHLLU,S2D2H2,2036,0.05
PHLLU,ELCPHLLU,S2D2H3,2036,0.05
PHLLU,ELCPHLLU,S2D2H4,2036,0.07
PHLLU,ELCPHLLU,S2D2H5,2036,0.05
PHLLU,ELCPHLLU,S2D2H6,2036,0.025
PHLLU,ELCPHLLU,S1D1H1,2037,0.005
PHLLU,ELCPHLLU,S1D1H2,2037,0.05
PHLLU,ELCPHLLU,S1D1H3,2037,0.05
PHLLU,ELCPHLLU,S1D1H4,2037,0.07
PHLLU,ELCPHLLU,S1D1H5,2037,0.05
PHLLU,ELCPHLLU,S1D1H6,2037,0.025
PHLLU,ELCPHLLU,S1D2H1,2037,0.005
PHLLU,ELCPHLLU,S1D2H2,2037,0.05
PHLLU,ELCPHLLU,S1D2H3,2037,0.05
PHLLU,ELCPHLLU,S1D2H4,2037,0.07
PHLLU,ELCPHLLU,S1D2H5,2037,0.05
PHLLU,ELCPHLLU,S1D2H6,2037,0.025
PHLLU,ELCPHLLU,S2D1H1,2037,0.005
PHLLU,ELCPHLLU,S2D1H2,2037,0.05
PHLLU,ELCPHLLU,S2D1H3,2037,0.05
PHLLU,ELCPHLLU,S2D1H4,2037,0.07
PHLLU,ELCPHLLU,S2D1H5,2037,0.05
PHLLU,ELCPHLLU,S2D1H6,2037,0.025
PHLLU,ELCPHLLU,S2D2H1,2037,0.005
PHLLU,ELCPHLLU,S2D2H2,2037,0.05
PHLLU,ELCPHLLU,S2D2H3,2037,0.05
PHLLU,ELCPHLLU,S2D2H4,2037,0.07
PHLLU,ELCPHLLU,S2D2H5,2037,0.05
PHLLU,ELCPHLLU,S2D2H6,2037,0.025
PHLLU,ELCPHLLU,S1D1H1,2038,0.005
PHLLU,ELCPHLLU,S1D1H2,2038,0.05
PHLLU,ELCPHLLU,S1D1H3,2038,0.05
PHLLU,ELCPHLLU,S1D1H4,2038,0.07
PHLLU,ELCPHLLU,S1D1H5,2038,0.05
PHLLU,ELCPHLLU,S1D1H6,2038,0.025
PHLLU,ELCPHLLU,S1D2H1,2038,0.005
PHLLU,ELCPHLLU,S1D2H2,2038,0.05
PHLLU,ELCPHLLU,S1D2H3,2038,0.05
PHLLU,ELCPHLLU,S1D2H4,2038,0.07
PHLLU,ELCPHLLU,S1D2H5,2038,0.05
PHLLU,ELCPHLLU,S1D2H6,2038,0.025
PHLLU,ELCPHLLU,S2D1H1,2038,0.005
PHLLU,ELCPHLLU,S2D1H2,2038,0.05
PHLLU,ELCPHLLU,S2D1H3,2038,0.05
PHLLU,ELCPHLLU,S2D1H4,2038,0.07
PHLLU,ELCPHLLU,S2D1H5,2038,0.05
PHLLU,ELCPHLLU,S2D1H6,2038,0.025
PHLLU,ELCPHLLU,S2D2H1,2038,0.005
PHLLU,ELCPHLLU,S2D2H2,2038,0.05
PHLLU,ELCPHLLU,S2D2H3,2038,0.05
PHLLU,ELCPHLLU,S2D2H4,2038,0.07
PHLLU,ELCPHLLU,S2D2H5,2038,0.05
PHLLU,ELCPHLLU,S2D2H6,2038,0.025
PHLLU,ELCPHLLU,S1D1H1,2039,0.005
PHLLU,ELCPHLLU,S1D1H2,2039,0.05
PHLLU,ELCPHLLU,S1D1H3,2039,0.05
PHLLU,ELCPHLLU,S1D1H4,2039,0.07
PHLLU,ELCPHLLU,S1D1H5,2039,0.05
PHLLU,ELCPHLLU,S1D1H6,2039,0.025
PHLLU,ELCPHLLU,S1D2H1,2039,0.005
PHLLU,ELCPHLLU,S1D2H2,2039,0.05
PHLLU,ELCPHLLU,S1D2H3,2039,0.05
PHLLU,ELCPHLLU,S1D2H4,2039,0.07
PHLLU,ELCPHLLU,S1D2H5,2039,0.05
PHLLU,ELCPHLLU,S1D2H6,2039,0.025
PHLLU,ELCPHLLU,S2D1H1,2039,0.005
PHLLU,ELCPHLLU,S2D1H2,2039,0.05
PHLLU,ELCPHLLU,S2D1H3,2039,0.05
PHLLU,ELCPHLLU,S2D1H4,2039,0.07
PHLLU,ELCPHLLU,S2D1H5,2039,0.05
PHLLU,ELCPHLLU,S2D1H6,2039,0.025
PHLLU,ELCPHLLU,S2D2H1,2039,0.005
PHLLU,ELCPHLLU,S2D2H2,2039,0.05
PHLLU,ELCPHLLU,S2D2H3,2039,0.05
PHLLU,ELCPHLLU,S2D2H4,2039,0.07
PHLLU,ELCPHLLU,S2D2H5,2039,0.05
PHLLU,ELCPHLLU,S2D2H6,2039,0.025
