TIMESLICE,YEAR,VALUE
S1D1,2049,0.125
S1D2,2049,0.125
S2D1,2049,0.125
S2D2,2049,0.125
S3D1,2049,0.125
S3D2,2049,0.125
S4D1,2049,0.125
S4D2,2049,0.125
S1D1,2050,0.125
S1D2,2050,0.125
S2D1,2050,0.125
S2D2,2050,0.125
S3D1,2050,0.125
S3D2,2050,0.125
S4D1,2050,0.125
S4D2,2050,0.125
S1D1,2051,0.125
S1D2,2051,0.125
S2D1,2051,0.125
S2D2,2051,0.125
S3D1,2051,0.125
S3D2,2051,0.125
S4D1,2051,0.125
S4D2,2051,0.125
S1D1,2052,0.125
S1D2,2052,0.125
S2D1,2052,0.125
S2D2,2052,0.125
S3D1,2052,0.125
S3D2,2052,0.125
S4D1,2052,0.125
S4D2,2052,0.125
S1D1,2053,0.125
S1D2,2053,0.125
S2D1,2053,0.125
S2D2,2053,0.125
S3D1,2053,0.125
S3D2,2053,0.125
S4D1,2053,0.125
S4D2,2053,0.125
S1D1,2054,0.125
S1D2,2054,0.125
S2D1,2054,0.125
S2D2,2054,0.125
S3D1,2054,0.125
S3D2,2054,0.125
S4D1,2054,0.125
S4D2,2054,0.125
S1D1,2055,0.125
S1D2,2055,0.125
S2D1,2055,0.125
S2D2,2055,0.125
S3D1,2055,0.125
S3D2,2055,0.125
S4D1,2055,0.125
S4D2,2055,0.125
S1D1,2056,0.125
S1D2,2056,0.125
S2D1,2056,0.125
S2D2,2056,0.125
S3D1,2056,0.125
S3D2,2056,0.125
S4D1,2056,0.125
S4D2,2056,0.125
S1D1,2057,0.125
S1D2,2057,0.125
S2D1,2057,0.125
S2D2,2057,0.125
S3D1,2057,0.125
S3D2,2057,0.125
S4D1,2057,0.125
S4D2,2057,0.125
S1D1,2058,0.125
S1D2,2058,0.125
S2D1,2058,0.125
S2D2,2058,0.125
S3D1,2058,0.125
S3D2,2058,0.125
S4D1,2058,0.125
S4D2,2058,0.125
S1D1,2059,0.125
S1D2,2059,0.125
S2D1,2059,0.125
S2D2,2059,0.125
S3D1,2059,0.125
S3D2,2059,0.125
S4D1,2059,0.125
S4D2,2059,0.125
S1D1,2060,0.125
S1D2,2060,0.125
S2D1,2060,0.125
S2D2,2060,0.125
S3D1,2060,0.125
S3D2,2060,0.125
S4D1,2060,0.125
S4D2,2060,0.125
S1D1,2061,0.125
S1D2,2061,0.125
S2D1,2061,0.125
S2D2,2061,0.125
S3D1,2061,0.125
S3D2,2061,0.125
S4D1,2061,0.125
S4D2,2061,0.125
S1D1,2062,0.125
S1D2,2062,0.125
S2D1,2062,0.125
S2D2,2062,0.125
S3D1,2062,0.125
S3D2,2062,0.125
S4D1,2062,0.125
S4D2,2062,0.125
S1D1,2063,0.125
S1D2,2063,0.125
S2D1,2063,0.125
S2D2,2063,0.125
S3D1,2063,0.125
S3D2,2063,0.125
S4D1,2063,0.125
S4D2,2063,0.125
S1D1,2064,0.125
S1D2,2064,0.125
S2D1,2064,0.125
S2D2,2064,0.125
S3D1,2064,0.125
S3D2,2064,0.125
S4D1,2064,0.125
S4D2,2064,0.125
S1D1,2065,0.125
S1D2,2065,0.125
S2D1,2065,0.125
S2D2,2065,0.125
S3D1,2065,0.125
S3D2,2065,0.125
S4D1,2065,0.125
S4D2,2065,0.125
S1D1,2066,0.125
S1D2,2066,0.125
S2D1,2066,0.125
S2D2,2066,0.125
S3D1,2066,0.125
S3D2,2066,0.125
S4D1,2066,0.125
S4D2,2066,0.125
S1D1,2067,0.125
S1D2,2067,0.125
S2D1,2067,0.125
S2D2,2067,0.125
S3D1,2067,0.125
S3D2,2067,0.125
S4D1,2067,0.125
S4D2,2067,0.125
S1D1,2068,0.125
S1D2,2068,0.125
S2D1,2068,0.125
S2D2,2068,0.125
S3D1,2068,0.125
S3D2,2068,0.125
S4D1,2068,0.125
S4D2,2068,0.125
S1D1,2069,0.125
S1D2,2069,0.125
S2D1,2069,0.125
S2D2,2069,0.125
S3D1,2069,0.125
S3D2,2069,0.125
S4D1,2069,0.125
S4D2,2069,0.125
S1D1,2070,0.125
S1D2,2070,0.125
S2D1,2070,0.125
S2D2,2070,0.125
S3D1,2070,0.125
S3D2,2070,0.125
S4D1,2070,0.125
S4D2,2070,0.125
